Stkcd	Trddt	dayc	ivol	totalv	crate	beta	return	ivol_lag	crate_lag	ivol_current	ivol_lag_rank
600535	200803	21	.015779975	87547.20	.187825	.805847	-.18824	0.023667403	0.18422	0.015779975	3
000729	200803	20	.016507883	19804805	.510079	.667024	-.18515	0.023821759	0.301631	0.016507883	3
000630	200803	21	.016149943	21745283	.275572	.921873	-.24933	0.024118632	0.226202	0.016149943	3
000157	200803	20	.024236327	334620.00	.155144	.841047	-.23624	0.024158265	0.09989	0.024236327	3
000937	200803	21	.024833934	29934317	.175746	.699932	-.06198	0.024223225	0.153989	0.024833934	3
000581	200803	21	.021546398	7690051.9	.222691	.729234	-.25471	0.024314902	0.132667	0.021546398	3
600383	200803	20	.037280129	31901705	.250834	.455953	-.05868	0.024463277	0.125663	0.037280129	3
600886	200803	20	.018849905	11590365	.307876	.763571	-.20992	0.024646592	0.221381	0.018849905	3
600019	200803	21	.019322122	2173239.2	.283200	.643536	-.27512	0.024786077	0.203238	0.019322122	3
600089	200803	20	.016047746	18003139	.281424	1.16213	-.30544	0.024967389	0.22837	0.016047746	3
601006	200803	21	.024614729	224497898	.108844		-.12316	0.026181691	0.154632	0.024614729	3
000895	200803	21	.030612324	22724809	.200712	.182866	-.21548	0.026421309	0.058018	0.030612324	3
600489	200803	20	.038937803	28429472	.437120	1.25058	-.25298	0.027761165	0.285146	0.038937803	3
000039	200803	21	.127386463	23763651	.273584	.510449	-.13459	0.027798005	0.273584	0.127386463	3
600633	200803	21	.022197785	1379100.9	.248556	1.06608	-.24417	0.027817229	0.288851	0.022197785	3
000983	200803	21	.034716509	497526.00	.369370	.714358	-.04044	0.028289583	0.265796	0.034716509	3
000061	200803	20	.128723769	9071324.5	.230945	.821717	-.22465	0.02878351	0.230945	0.128723769	3
600674	200803	21	.135475209	12744088	.760631	.943370	-.34512	0.029563114	0.760631	0.135475209	3
000425	200803	21	.019999433	10656463	.133279	1.12698	-.24517	0.030303005	0.126004	0.019999433	3
600111	200803	21	.021073740	14604925	.328475	1.11385	-.24515	0.030567877	0.3528	0.02107374	3
600690	200803	21	.020869140	17976307	.231467	.705714	-.34584	0.030954574	0.173448	0.02086914	3
600256	200803	20	.015588849	11432008	.170818	.939540	-.27671	0.031128024	0.129905	0.015588849	4
000623	200803	21	.143183929	21202778	.376347	1.43661	-.31771	0.031245295	0.376347	0.143183929	4
000024	200803	20	.025058811	29819573	.384216	.489036	-.11060	0.031354573	0.194686	0.025058811	4
600395	200803	21	.031090686	69507.36	.532027	1.02120	-.04539	0.031517424	0.582794	0.031090686	4
600058	200803	21	.034135123	30195725	.308976	1.17419	-.30365	0.034336515	0.473292	0.034135123	4
600010	200803	21	.023548480	41237722	.199325	.873850	-.14967	0.034527541	0.138509	0.02354848	4
000792	200803	21	.026494283	657022.80	.130418	.445309	-.04176	0.035877852	0.092251	0.026494283	4
000709	200803	20	.162475945	36192761	.242134	1.03299	-.26031	0.036330726	0.242134	0.162475945	4
600739	200803	21	.181130680	29222017	.396883	1.82857	-.36978	0.039525955	0.396883	0.18113068	4
002202	200803	21	.034324617	529000.00	1.08931		-.36723	0.042988105	0.563071	0.034324617	4
000878	200803	21	.037335360	40591048	.585341	.974466	-.34523	0.043908611	0.46321	0.03733536	4
600549	200803	21	.030037140	84722.90	.210702	.634791	-.30117	0.044294208	0.29228	0.03003714	4
600362	200803	20	.034114589	50843085	.579500	1.00183	-.34849	0.047027663	0.484145	0.034114589	4
600271	200803	21	.018156508	159994.44	.054001	.587962	-.23671	0.082887006	0.050309	0.018156508	4
000709	200803	20	.036330726	36192761	.242134	1.03299	-.26031	0.089997455	0.151332	0.036330726	4
000061	200803	20	.028783510	9071324.5	.230945	.821717	-.22465	0.095863116	0.145254	0.02878351	4
000623	200803	21	.031245295	21202778	.376347	1.43661	-.31771	0.097412608	0.294061	0.031245295	4
000039	200803	21	.027798005	23763651	.273584	.510449	-.13459	0.104401338	0.152805	0.027798005	4
000629	200803	21	.016674836	35001410	.222284	1.02421	-.19850	0.120859092	0.254962	0.016674836	4
