Stkcd	Trddt	dayc	ivol	totalv	crate	beta	return	ivol_lag	crate_lag	ivol_current	ivol_lag_rank
600010	200803	21	.023548480	41237722	.199325	.873850	-.14967	0.034527541	0.138509	0.02354848	0
000709	200803	20	.162475945	36192761	.242134	1.03299	-.26031	0.036330726	0.242134	0.162475945	0
600739	200803	21	.181130680	29222017	.396883	1.82857	-.36978	0.039525955	0.396883	0.18113068	0
600684	200803	21	.103317449	2296843.7	.257089	.877174	-.08015	0.040493203	0.156292	0.103317449	0
600827	200803	21	.053018903	4152055.1	.256267	.899384	-.23731	0.044990392	0.184096	0.053018903	0
600352	200803	21	.071433032	91271.50	.124893	.884762	-.15031	0.045482131	0.093373	0.071433032	0
000977	200803	20	.095679861	19801.50	.514193	.960190	-.18711	0.045524139	0.470052	0.095679861	1
000050	200803	21	.080775412	3946925.8	.390979	.857109	-.35239	0.046191321	0.201418	0.080775412	1
600839	200803	21	.050239317	12699034	.303164	.774555	-.25996	0.046986348	0.274328	0.050239317	1
600654	200803	21	.071421175	3737463.6	.347344	1.22528	-.19773	0.047402899	0.214979	0.071421175	1
600831	200803	20	.073091506	3796542.2	.180275	.879703	-.27584	0.047453359	0.158339	0.073091506	1
000088	200803	21	.066762710	137323.50	.344620	.690991	-.31448	0.047545374	0.225484	0.06676271	1
000027	200803	21	.090186869	31363534	.232066	.676817	-.24296	0.047985223	0.150024	0.090186869	1
000823	200803	21	.081064320	3792154.0	.564572	.852526	-.16812	0.049631348	0.219882	0.08106432	1
002073	200803	20	.138148567	5663182.5	.213591		-.08368	0.051914484	0.094334	0.138148567	1
600321	200803	21	.086003854	1965568.8	.494946	.954355	-.21331	0.052605488	0.415716	0.086003854	1
600993	200803	21	.119224522	2623779.6	.452344		-.35502	0.053102341	0.231434	0.119224522	1
000989	200803	21	.082737534	3395180.1	.628724	1.03172	-.16269	0.054844174	0.555634	0.082737534	1
600289	200803	21	.110614078	4801471.3	.328052	.767907	-.22710	0.060896021	0.409803	0.110614078	1
600570	200803	21	.120927397	4999285.2	.083781	1.32928	-.19970	0.061180206	0.055378	0.120927397	1
600206	200803	21	.063104178	24635.50	.434077	.890110	-.25970	0.061894859	0.236348	0.063104178	1
000917	200803	20	.112501784	6938911.3	.347400	1.24907	-.28206	0.062711895	0.324649	0.112501784	1
000006	200803	21	.124782623	6205387.2	.166352	.680323	-.07276	0.063273676	0.104134	0.124782623	1
600668	200803	21	.081592486	2147083.1	.598858	1.44967	-.23902	0.063945639	0.473694	0.081592486	1
600838	200803	21	.078578364	2858288.5	.411059	1.07605	-.21476	0.065885615	0.324017	0.078578364	1
000926	200803	21	.086976407	6286975.0	.329492	.791286	-.20253	0.068086489	0.249557	0.086976407	1
002129	200803	16	.074840572	5186090.7	.297194		-.21730	0.068149725	0.262295	0.074840572	1
600787	200803	21	.097769680	7141314.7	.224312	.887942	-.20378	0.068920019	0.173331	0.09776968	2
000540	200803	19	.091573344	3362890.0	.546972	1.28837	-.13963	0.070319329	0.399194	0.091573344	2
000616	200803	21	.080933655	6769936.8	.291816	.990619	-.13041	0.072114044	0.259208	0.080933655	2
600478	200803	21	.105495879	2554237.4	.456860	1.39901	-.38318	0.073509324	0.194328	0.105495879	2
600811	200803	21	.078758422	12949796	.274080	1.45878	-.27642	0.073566136	0.203833	0.078758422	2
600288	200803	20	.134562598	37094.40	.483919	1.09650	-.13139	0.074155653	0.456302	0.134562598	2
000793	200803	21	.057904351	10554629	.139941	.911430	-.21378	0.075985654	0.128701	0.057904351	2
600611	200803	21	.108146180	11026591	.405445	1.51558	-.16518	0.079218978	0.341184	0.10814618	2
600161	200803	20	.113707768	78120.00	.294857	1.09304	-.42391	0.079466381	0.145242	0.113707768	2
600537	200803	21	.173544405	2148517.6	2.35469	.940263	-.06507	0.080896706	0.499928	0.173544405	2
