Trddt	ivol_lag_rank	ivol_lag	v_weight_ilag	avg_return	v_weight_return	crate	crate_lag	v_weight_crate	v_weight_crate_lag	avg_totalv
201002	1	0.0692536178	0.0690876785	0.0512393684	0.0246170356	0.2320860526	0.4607967368	0.2067871753	0.5263026617	10917846.843
201002	2	0.0880219021	0.0887375515	0.0448197895	0.0372766044	0.3946137368	0.7669629474	0.3667212644	0.5982044124	8005960.3953
201002	3	0.1089956199	0.1084231523	0.0626246316	0.0732765548	0.3847081053	0.7936856316	0.2704165659	0.6290514871	4638768.92
201002	4	0.1418486085	0.1451802991	0.0758948421	0.108359771	0.6706436842	1.0703394211	0.5748203976	0.8195218765	6813946.7979
201003	0	0.0452691764	0.0427090458	0.0339913333	0.0056066613	0.4539340476	0.1991419524	0.2936963198	0.1689684078	13993704.048
201003	1	0.0636046745	0.0621926496	0.0607424091	0.0572050496	0.6460281364	0.3452724545	0.4914203391	0.2748852083	6813773.1132
201003	2	0.0826609044	0.0831966186	0.0152849048	0.002374623	0.4520086667	0.3311289048	0.3947846548	0.3181723365	10881324.38
201003	3	0.102992305	0.1028607518	0.0577645909	0.0233094407	0.8739589545	0.6071553182	0.5403704053	0.541401525	5735093.7405
201003	4	0.139052749	0.1410515244	0.0035212857	0.0066098871	0.6612078571	0.7131259524	0.5416802408	0.5612320819	8645945.2667
201303	0	0.0263347333	0.0229144823	-0.040261423	-0.017927057	0.2188772308	0.1929081154	0.2288669035	0.2197539863	15233389.502
201303	1	0.0487492708	0.0478070846	-0.039573308	-0.013186573	0.3103896923	0.2398844615	0.2949509688	0.183184955	9724066.2681
201303	2	0.0621468695	0.0613527396	-0.022905885	-0.03536231	0.4080336154	0.2600404231	0.3200236904	0.2442249124	6299909.2823
201303	3	0.0778717281	0.078646565	-0.035680769	0.014969003	0.4327801154	0.3001059615	0.3718775333	0.2478305875	8315919.3954
201303	4	0.1202958982	0.1212791857	-0.035402462	-0.051565432	0.4781446923	0.4261336923	0.3931394004	0.3447816297	7157649.4885
201304	0	0.0268056303	0.0215957038	-0.03733232	-0.05720031	0.15259	0.17970356	0.1509303515	0.1677471517	15672273.968
201304	1	0.0553286961	0.0562981336	-0.020448692	-0.020229306	0.1623408846	0.2324508462	0.1621834215	0.2195174017	7381776.1396
201304	2	0.0742147636	0.0749458329	-0.032066731	-0.014326998	0.2371396538	0.3783303846	0.1779363613	0.2774925678	7006947.1292
201304	3	0.0972007489	0.0978351795	-0.009262423	-0.042889623	0.2603954231	0.405981	0.2154018269	0.3614665114	7552107.1542
201304	4	0.1473866697	0.1437453575	-0.00623548	-0.01069148	0.41751424	0.60147628	0.3384914742	0.4894219588	7776051.45
201305	0	0.0257982381	0.0209301164	0.14206456	0.1278756571	0.28598668	0.2182104	0.2715761123	0.2310917399	16845336.168
201305	1	0.0512453863	0.0489955168	0.1457101538	0.1178070611	0.3506334231	0.1433938462	0.2698659187	0.1235083279	12161796.418
201305	2	0.0679039943	0.0698984396	0.2046779231	0.2072423979	0.4157226154	0.1954475769	0.3553556938	0.1896970757	9088854.085
201305	3	0.088594479	0.0889460117	0.2000140385	0.1952670994	0.5694794231	0.2776430769	0.4899072391	0.2530682522	8444955.0985
201305	4	0.123227322	0.125474309	0.2233938462	0.2496191389	0.7745318462	0.463544	0.8697932923	0.4803032279	5704460.2208
201306	0	0.0291955103	0.0270042773	-0.17549776	-0.161098714	0.1878982	0.21451396	0.1760898452	0.183525561	15941144.565
201306	1	0.062616568	0.065137704	-0.14489992	-0.142456017	0.24977808	0.31563656	0.1974505543	0.2549550624	6892038.7948
201306	2	0.0906946689	0.089249052	-0.162794577	-0.14417689	0.274183	0.4767452692	0.2154270188	0.3811151072	7262224.2008
201306	3	0.1173902414	0.1168025438	-0.15761728	-0.140643987	0.37559292	0.5992632	0.3427339759	0.5326837978	7252975.0332
201306	4	0.1541557429	0.1585288406	-0.16579076	-0.155758101	0.55866052	0.75298624	0.6064004013	0.750847885	7066615.1068
201307	0	0.028909098	0.0243322473	0.02686952	-0.024367941	0.2766122	0.21486868	0.2699338722	0.2363188892	12895391.204
201307	1	0.0562468324	0.0578560953	0.0615732692	0.0324231279	0.4739066154	0.2291316923	0.4014074933	0.2135933091	7212571.2462
201307	2	0.0782645718	0.0794417796	0.0736798846	0.0419495379	0.4182253077	0.2677152692	0.3106949504	0.2293160118	6517522.7512
201307	3	0.0995477005	0.0989661762	0.0720396538	0.0119208113	0.5844675	0.3334627308	0.467518556	0.2839471896	9305029.5435
201307	4	0.1523616138	0.1516761118	0.1345617692	0.1506255252	0.8557138846	0.6370330769	0.8780810004	0.6161093955	8850744.0577
201308	0	0.0341307165	0.0294147021	0.10162212	0.0751975785	0.28378904	0.22790184	0.2491421501	0.2258215263	16029649.368
