Stkcd,Trdmnt,,Msmvttl,Dturn,Beta,Mretwd
证券代码,月份,,个股总市值,换手率,Beta值,考虑现金红利再投资的月个股回报率
没有单位,没有单位,,千元,没有单位,没有单位,没有单位
000039,2009 ,6 ,12109747.47,0.453234,0.695026,0.116173
000039,2009 ,7 ,15645350.24,0.615747,0.732891,0.291963
000039,2009 ,8 ,12257577.55,0.469409,0.765381,-0.216535
000039,2009 ,9 ,12109747.47,0.283534,0.76403,-0.01206
000039,2009 ,10 ,12688748.62,0.158935,0.74779,0.047813
000039,2009 ,11 ,14622858.85,0.456918,0.751672,0.152427
000039,2009 ,12 ,16138117.18,0.322251,0.752022,0.103623
000039,2010 ,1 ,16864948.41,0.368329,0.742769,0.045038
000039,2010 ,2 ,18429483.44,0.127195,0.743857,0.092768
000039,2010 ,3 ,17394672.87,0.166923,0.742644,-0.05615
000039,2010 ,4 ,15349690.08,0.156691,0.73872,-0.117564
000039,2010 ,5 ,14795327.28,0.100394,0.751138,-0.036116
000039,2010 ,6 ,14659816.37,0.08426,0.734289,0.000225
000039,2010 ,7 ,16273628.09,0.129772,0.724986,0.110084
000039,2010 ,8 ,17296119.48,0.196147,0.726459,0.062831
000039,2010 ,9 ,17616417.99,0.184993,0.726841,0.018519
000039,2010 ,10 ,20942594.81,0.306593,0.742308,0.188811
000039,2010 ,11 ,23012215.95,0.354176,0.741193,0.098824
000039,2010 ,12 ,28321779.69,0.38294,0.720462,0.230728
000039,2011 ,1 ,31684914.04,0.280068,0.683866,0.118747
000039,2011 ,2 ,35392985.24,0.212313,0.701414,0.11703
000039,2011 ,3 ,29566016.21,0.313151,0.744685,-0.164636
000039,2011 ,4 ,28334098.87,0.258441,0.804952,-0.041667
000039,2011 ,5 ,25513008.15,0.188352,0.777078,-0.099565
000039,2011 ,6 ,26954351.44,0.2663,0.804401,0.07434
000039,2011 ,7 ,25315901.38,0.360842,0.858566,-0.060786
000039,2011 ,8 ,22199150.5,0.329424,0.877708,-0.123114
000039,2011 ,9 ,19316463.92,0.247228,0.876557,-0.129856
000039,2011 ,10 ,21188978.28,0.287625,0.86789,0.096939
000039,2011 ,11 ,17616417.99,0.320812,0.861707,-0.168605
000039,2011 ,12 ,15830137.84,0.198696,0.856205,-0.101399
000039,2012 ,1 ,17296119.48,0.202106,0.839368,0.092607
000039,2012 ,2 ,18848335.33,0.309348,0.835285,0.089744
000039,2012 ,3 ,16766395.02,0.264185,0.848754,-0.110458
000039,2012 ,4 ,19094718.8,0.203283,0.849034,0.138868
000039,2012 ,5 ,18515717.65,0.174354,0.84153,-0.030323
000039,2012 ,6 ,16384500.65,0.087292,0.82726,-0.085521
000039,2012 ,7 ,16138117.18,0.041507,0.826062,-0.015038
000039,2012 ,8 ,12454684.33,0.136478,0.828629,-0.228244
000039,2012 ,9 ,12664110.28,0.178573,0.842161,0.016815
000039,2012 ,10 ,12306854.25,0.088875,0.80214,-0.02821
000039,2012 ,11 ,11530746.32,0.068112,0.818442,-0.063063
000039,2012 ,12 ,14203986.2,0.245269,0.892263,0.231838
000039,2013 ,1 ,17345370.83,0.322223,0.923756,0.221162
000039,2013 ,2 ,16618540.66,0.132308,0.917439,-0.041903
000039,2013 ,3 ,15361986.81,0.120511,0.957722,-0.075612
000039,2013 ,4 ,14117752.11,0.076634,0.9798,-0.080994
000039,2013 ,5 ,15768518.94,0.150607,0.970292,0.116928
000039,2013 ,6 ,12725687.55,0.123626,0.985241,-0.192969
000039,2013 ,7 ,13329326.16,0.182285,0.920411,0.047435
